Timestamp;"How familiar are you in at least one of the following fields:
Semantic Web (SW), 
Natural Language Processing (NLP), 
Machine Learning (ML)?";How well-versed are you in programming / working with APIs?;How long did you need to finish the Jupyter Notebook (excl. this questionnaire)?;"How time-consuming would it be to combine multiple systems *without* the ""Combining Linking Techniques"" framework? (Approximation)";"For the task of ""running multiple entity linkers together"" (task you just performed in the Jupyter Notebook), how much time does the framework save you, compared to not using it? (Approximation)";"System interactions included within CLiT are sufficient for rich system interactions.

These include combinations between systems for:
1) mention detection, 
2) candidate generation, 
3) entity disambiguation, 
4) combinations thereof, 
5) combinations through union / intersection operators (Combiner / Splitter), 
6) intersystem compatibility through knowledge graph alignment (Translator), 
7) result customizations through filters (Filter), 
8) machine-readable exchange formats (NIF, JSON, ...), 
9) JSON-based API,
...
";Can you think of useful interactions between components you'd like to see in the future? (Or other comments);I think that I would like to use this system frequently.;I found the system unnecessarily complex.;I thought the system was easy to use.;I think that I would need the support of a technical person to be able to use this system.;I found the various functions in this system were well integrated.;I thought there was too much inconsistency in this system.;I would imagine that most people would learn to use this system very quickly.;I found the system very cumbersome to use.;I felt very confident using the system.;I needed to learn a lot of things before I could get going with this system.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.;Please assess the framework by choosing one score per line.
05.04.2023 18:04;3;2;10-20 minutes;> 240 minutes;More than a day (>8h);5;;5;1;5;1;5;1;4;1;5;1;7;5;6;1;1;7;7;6;2;1;7;1;6;7;5;7;4;1;1;7;1;7;3;1;1;7
05.05.2023 10:22;5;5;10-20 minutes;> 240 minutes;Saved me (half) a day (4-8h);5;;5;1;5;1;5;1;5;5;5;1;7;7;1;1;1;7;7;4;1;1;7;1;7;7;7;7;1;1;1;7;1;7;1;1;1;7
05.05.2023 13:45;4;5;10-20 minutes;120-240 minutes;Saved me an afternoon (2-4h);4;;3;1;4;2;4;2;4;2;3;1;6;6;2;2;1;7;6;6;3;2;7;2;5;7;6;6;2;1;1;6;2;7;2;2;3;6
05.05.2023 15:49;4;4;10-20 minutes;120-240 minutes;Saved me an afternoon (2-4h);4;;3;2;4;1;4;2;3;2;3;2;5;6;3;2;2;5;5;6;3;2;6;2;5;5;6;5;4;3;2;6;2;6;2;4;2;6
05.05.2023 17:44;3;4;10-20 minutes;20-30 minutes;Some time savings (1-2h);3;;4;1;5;2;5;1;5;1;4;2;6;6;2;2;2;5;6;5;3;2;7;1;7;6;5;6;3;2;1;5;1;6;1;3;2;6
05.06.2023 13:22;2;3;20-30 minutes;20-30 minutes;No time savings. (0h);3;;4;2;5;2;4;1;4;2;4;2;6;5;2;4;1;6;7;6;2;3;6;1;6;6;5;6;3;2;1;7;2;6;3;2;2;5
05.06.2023 14:10;1;4;20-30 minutes;30-60 minutes;A little time savings (0-1h);2;;3;2;4;1;4;1;4;3;3;3;5;6;3;3;3;5;3;4;3;5;5;3;2;6;3;4;6;4;4;5;3;5;4;4;3;3
05.06.2023 16:02;4;2;30-60 minutes;120-240 minutes;Saved me an afternoon (2-4h);3;;3;2;4;2;4;2;4;4;3;4;6;6;2;3;2;5;6;4;2;3;6;2;5;5;4;5;4;2;2;6;3;5;2;3;2;5
05.06.2023 22:56;3;4;10-20 minutes;30-60 minutes;Some time savings (1-2h);4;;4;1;4;3;5;1;3;4;2;1;6;5;1;2;1;5;6;6;1;2;5;2;5;6;5;6;4;2;4;7;2;6;1;1;2;5
05.07.2023 12:58;5;5;10-20 minutes;> 240 minutes;More than a day (>8h);5;;5;1;5;3;4;1;5;1;5;1;6;7;2;1;1;6;6;4;4;2;7;1;7;7;6;6;3;1;1;7;1;7;1;2;1;7
05.07.2023 14:17;2;3;20-30 minutes;10-20 minutes;A little time savings (0-1h);4;;4;1;5;3;3;2;5;1;3;1;7;7;1;1;1;6;7;7;2;1;7;1;5;6;4;7;3;1;2;7;2;7;1;1;1;6
05.08.2023 09:42;3;2;10-20 minutes;10-20 minutes;A little time savings (0-1h);4;;4;3;4;2;4;2;4;2;3;2;6;6;2;2;2;6;6;4;2;4;6;2;6;6;6;6;2;2;2;6;2;6;2;2;2;6
05.08.2023 14:56;3;5;10-20 minutes;120-240 minutes;Saved me an afternoon (2-4h);5;;4;2;4;3;5;2;3;3;3;3;6;6;2;3;1;4;5;6;1;3;5;1;5;5;6;7;1;2;1;6;6;7;1;3;2;6
